iter	Passed	Remaining
554	10862	8709
555	10882	8690
556	10902	8670
557	10923	8652
558	10944	8634
559	10965	8615
560	10984	8595
561	11003	8576
562	11020	8554
563	11039	8534
564	11059	8514
565	11079	8495
566	11099	8476
567	11119	8456
568	11138	8436
569	11157	8416
570	11176	8397
571	11197	8378
572	11216	8358
573	11234	8338
574	11253	8318
575	11271	8297
576	11289	8276
577	11309	8257
578	11332	8240
579	11352	8221
580	11371	8200
581	11391	8181
582	11411	8161
583	11432	8143
584	11454	8125
585	11474	8106
586	11491	8085
587	11512	8066
588	11532	8047
589	11552	8028
590	11573	8009
591	11591	7988
592	11612	7970
593	11632	7950
594	11651	7930
595	11671	7911
596	11691	7892
597	11709	7871
598	11729	7852
599	11750	7833
600	11769	7813
601	11789	7794
602	11809	7775
603	11827	7754
604	11847	7735
605	11867	7716
606	11887	7696
607	11906	7676
608	11931	7660
609	11953	7642
610	11975	7624
611	11994	7604
612	12013	7584
613	12034	7565
614	12051	7544
615	12071	7525
616	12091	7505
617	12111	7486
618	12131	7467
619	12150	7446
620	12168	7426
621	12185	7405
622	12205	7385
623	12223	7365
624	12242	7345
625	12264	7327
626	12283	7307
627	12304	7288
628	12322	7268
629	12346	7251
630	12367	7232
631	12386	7212
632	12405	7192
633	12427	7174
634	12446	7154
635	12465	7134
636	12485	7115
637	12506	7096
638	12525	7076
639	12545	7057
640	12564	7036
641	12581	7015
642	12602	6996
643	12619	6975
644	12637	6955
645	12654	6934
646	12674	6915
647	12693	6895
648	12715	6876
649	12735	6857
650	12756	6838
651	12776	6819
652	12797	6800
653	12815	6780
654	12834	6759
655	12851	6739
656	12871	6719
657	12891	6700
658	12909	6680
659	12929	6660
660	12950	6641
661	12969	6621
662	12989	6602
663	13009	6582
664	13028	6563
665	13048	6544
666	13068	6524
667	13087	6504
668	13106	6484
669	13125	6464
670	13145	6445
671	13163	6425
672	13181	6404
673	13201	6385
674	13219	6364
675	13239	6345
676	13257	6325
677	13275	6304
678	13294	6284
679	13312	6264
680	13331	6244
681	13353	6226
682	13375	6207
683	13396	6188
684	13415	6169
685	13433	6148
686	13451	6128
687	13471	6109
688	13488	6088
689	13504	6067
690	13523	6047
691	13543	6028
692	13566	6010
693	13587	5990
694	13606	5970
695	13626	5951
696	13645	5931
697	13662	5911
698	13682	5891
699	13701	5871
700	13720	5852
701	13739	5832
702	13759	5813
703	13778	5793
704	13796	5772
705	13814	5752
706	13835	5733
707	13855	5714
708	13881	5697
709	13903	5678
710	13921	5658
711	13939	5638
712	13960	5619
713	13979	5599
714	13997	5579
715	14017	5559
716	14037	5540
717	14055	5520
718	14073	5500
719	14094	5481
720	14113	5461
721	14131	5441
722	14151	5421
723	14171	5402
724	14190	5382
725	14208	5362
726	14228	5342
727	14245	5322
728	14265	5303
729	14284	5283
730	14303	5263
731	14322	5243
732	14341	5223
733	14365	5206
734	14385	5186
735	14405	5167
736	14424	5147
737	14444	5127
738	14465	5108
739	14482	5088
740	14502	5069
741	14521	5049
742	14541	5029
743	14560	5010
744	14582	4991
745	14600	4971
746	14621	4952
747	14643	4933
748	14664	4914
749	14683	4894
750	14702	4874
751	14723	4855
752	14743	4836
753	14761	4816
754	14780	4796
755	14799	4776
756	14820	4757
757	14840	4737
758	14860	4718
759	14881	4699
760	14901	4680
761	14920	4660
762	14941	4640
763	14960	4621
764	14979	4601
765	14999	4581
766	15018	4562
767	15037	4542
768	15055	4522
769	15073	4502
770	15093	4483
771	15111	4462
772	15130	4443
773	15149	4423
774	15168	4403
775	15186	4383
776	15207	4364
777	15225	4344
778	15246	4325
779	15263	4305
780	15282	4285
781	15301	4265
782	15320	4245
783	15340	4226
784	15359	4206
785	15383	4188
786	15404	4169
787	15425	4149
788	15444	4130
789	15465	4111
790	15484	4091
791	15503	4071
792	15522	4051
793	15542	4032
794	15564	4013
795	15583	3993
796	15601	3973
797	15622	3954
798	15643	3935
799	15662	3915
800	15682	3896
801	15699	3876
802	15719	3856
803	15739	3836
804	15757	3817
805	15775	3796
806	15796	3777
807	15816	3758
808	15835	3738
809	15854	3719
810	15875	3699
811	15893	3679
812	15913	3660
813	15933	3640
814	15951	3620
815	15971	3601
816	15991	3581
817	16010	3562
818	16031	3542
819	16052	3523
820	16071	3504
821	16094	3485
822	16115	3465
823	16134	3446
824	16155	3426
825	16176	3407
826	16196	3388
827	16215	3368
828	16236	3349
829	16255	3329
830	16275	3309
831	16296	3290
832	16315	3271
833	16334	3251
834	16352	3231
835	16372	3211
836	16394	3192
837	16414	3173
838	16434	3153
839	16453	3134
840	16474	3114
841	16493	3094
842	16509	3074
843	16528	3055
844	16548	3035
845	16566	3015
846	16586	2996
847	16602	2975
848	16617	2955
849	16635	2935
850	16649	2915
851	16666	2895
852	16686	2875
853	16702	2855
854	16721	2835
855	16741	2816
856	16760	2796
857	16778	2776
858	16797	2757
859	16814	2737
860	16830	2717
861	16848	2697
862	16863	2677
863	16880	2657
864	16898	2637
865	16917	2617
866	16935	2597
867	16955	2578
868	16973	2558
869	16994	2539
870	17010	2519
871	17025	2499
872	17041	2479
873	17057	2459
874	17075	2439
875	17094	2419
876	17113	2400
877	17132	2380
878	17153	2361
879	17171	2341
880	17189	2321
881	17212	2302
882	17230	2283
883	17249	2263
884	17269	2244
885	17289	2224
886	17310	2205
887	17324	2185
888	17344	2165
889	17369	2146
890	17392	2127
891	17417	2108
892	17441	2089
893	17461	2070
894	17478	2050
895	17497	2030
896	17517	2011
897	17535	1991
898	17556	1972
899	17575	1952
900	17593	1933
901	17612	1913
902	17631	1893
903	17651	1874
904	17670	1854
905	17690	1835
906	17712	1816
907	17736	1797
908	17758	1777
909	17781	1758
910	17806	1739
911	17826	1720
912	17846	1700
913	17866	1681
914	17886	1661
915	17910	1642
916	17937	1623
917	17961	1604
918	17985	1585
919	18009	1566
920	18022	1545
921	18048	1526
922	18071	1507
923	18094	1488
924	18116	1468
925	18140	1449
926	18158	1429
927	18177	1410
928	18196	1390
929	18213	1370
930	18232	1351
931	18252	1331
932	18272	1312
933	18293	1292
934	18311	1272
935	18330	1253
936	18352	1233
937	18371	1214
938	18388	1194
939	18410	1175
940	18433	1155
941	18454	1136
942	18474	1116
943	18494	1097
944	18512	1077
945	18531	1057
946	18550	1038
947	18569	1018
948	18587	998
949	18607	979
950	18625	959
951	18637	939
952	18650	919
953	18669	900
954	18689	880
955	18707	861
956	18725	841
957	18743	821
958	18761	802
959	18780	782
960	18800	762
961	18819	743
962	18839	723
963	18860	704
964	18879	684
965	18900	665
966	18918	645
967	18939	626
968	18954	606
969	18974	586
970	18993	567
971	19014	547
972	19033	528
973	19054	508
974	19074	489
975	19091	469
976	19111	449
977	19130	430
978	19149	410
979	19170	391
980	19191	371
981	19209	352
982	19226	332
983	19244	312
984	19263	293
985	19282	273
986	19299	254
987	19318	234
988	19336	215
989	19358	195
990	19378	175
991	19398	156
992	19416	136
993	19438	117
994	19458	97
995	19477	78
996	19496	58
997	19513	39
998	19534	19
999	19554	0
